seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	2138849	2139894	1046	*	X0001	199990	2115899	2139172	23274	-	0	overlapStart	0	FAAP20
chr1	2138897	2139909	1013	*	X0002	199990	2115899	2139172	23274	-	0	overlapStart	0	FAAP20
chr1	10489864	10490761	898	*	X0004	100526739	10490159	10512060	21902	+	0	overlapStart	0	CENPS-CORT
chr1	10489864	10490761	898	*	X0004	378708	10490159	10502872	12714	+	0	overlapStart	0	CENPS
chr1	16970773	16971728	956	*	X0010	11209	16972069	16976915	4847	+	340	upstream	340	MST1P2
chr1	16970773	16971728	956	*	X0010	84809	16944751	16971178	26428	-	0	overlapStart	0	CROCCP2
chr1	16970773	16971761	989	*	X0011	11209	16972069	16976915	4847	+	307	upstream	307	MST1P2
chr1	16970773	16971761	989	*	X0011	84809	16944751	16971178	26428	-	0	overlapStart	0	CROCCP2
chr1	16971904	16971995	92	*	X0012	11209	16972069	16976915	4847	+	73	upstream	73	MST1P2
chr1	16971904	16971995	92	*	X0012	84809	16944751	16971178	26428	-	725	upstream	725	CROCCP2
chr1	21672040	21672942	903	*	X0013	1889	21543740	21672034	128295	-	5	upstream	5	ECE1
chr1	21672060	21673048	989	*	X0014	1889	21543740	21672034	128295	-	25	upstream	25	ECE1
chr1	21672098	21673048	951	*	X0015	1889	21543740	21672034	128295	-	63	upstream	63	ECE1
chr1	21672132	21673048	917	*	X0016	1889	21543740	21672034	128295	-	97	upstream	97	ECE1
chr1	21672168	21673048	881	*	X0017	1889	21543740	21672034	128295	-	133	upstream	133	ECE1
chr1	21672470	21673048	579	*	X0018	1889	21543740	21672034	128295	-	435	upstream	435	ECE1
chr1	21672506	21673048	543	*	X0019	1889	21543740	21672034	128295	-	471	upstream	471	ECE1
chr1	21672580	21673048	469	*	X0020	1889	21543740	21672034	128295	-	545	upstream	545	ECE1
chr1	21672616	21673048	433	*	X0021	1889	21543740	21672034	128295	-	581	upstream	581	ECE1
chr1	21672790	21673048	259	*	X0022	1889	21543740	21672034	128295	-	755	upstream	755	ECE1
chr1	21673021	21673048	28	*	X0023	1889	21543740	21672034	128295	-	986	upstream	986	ECE1
chr1	24285510	24286099	590	*	X0024	55629	24286301	24289949	3649	+	201	upstream	201	PNRC2
chr1	29211052	29211768	717	*	X0025	2035	29213603	29446558	232956	+	1834	upstream	1834	EPB41
chr1	29211052	29212094	1043	*	X0026	2035	29213603	29446558	232956	+	1508	upstream	1508	EPB41
chr1	29211650	29212096	447	*	X0027	2035	29213603	29446558	232956	+	1506	upstream	1506	EPB41
chr1	29563192	29564058	867	*	X0028	10076	29563028	29653325	90298	+	0	inside	163	PTPRU
chr1	29563233	29564242	1010	*	X0029	10076	29563028	29653325	90298	+	0	inside	204	PTPRU
chr1	29563244	29564252	1009	*	X0030	10076	29563028	29653325	90298	+	0	inside	215	PTPRU
chr1	29563300	29564308	1009	*	X0031	10076	29563028	29653325	90298	+	0	inside	271	PTPRU
chr1	43996799	43996928	130	*	X0037	5792	43996547	44089343	92797	+	0	inside	251	PTPRF
chr1	110052034	110052862	829	*	X0051	57463	110049446	110052336	2891	-	0	overlapStart	0	AMIGO1
chr1	110052034	110052900	867	*	X0052	57463	110049446	110052336	2891	-	0	overlapStart	0	AMIGO1
chr1	110052034	110052927	894	*	X0053	57463	110049446	110052336	2891	-	0	overlapStart	0	AMIGO1
chr1	110052494	110053034	541	*	X0054	57463	110049446	110052336	2891	-	157	upstream	157	AMIGO1
chr1	153517561	153518488	928	*	X0055	6275	153516095	153518282	2188	-	0	overlapStart	0	S100A4
chr1	153517657	153518488	832	*	X0056	6275	153516095	153518282	2188	-	0	overlapStart	0	S100A4
chr1	153517584	153518488	905	*	X0057	6275	153516095	153518282	2188	-	0	overlapStart	0	S100A4
chr1	153517657	153518488	832	*	X0058	6275	153516095	153518282	2188	-	0	overlapStart	0	S100A4
chr1	155098476	155098958	483	*	X0061	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098476	155098958	483	*	X0062	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098476	155098958	483	*	X0063	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098476	155098958	483	*	X0064	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098751	155098958	208	*	X0065	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098835	155098958	124	*	X0066	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098476	155098958	483	*	X0067	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098476	155099030	555	*	X0068	1942	155100349	155107386	7038	+	1318	upstream	1318	EFNA1
chr1	155098476	155099358	883	*	X0069	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098476	155099358	883	*	X0070	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098751	155099358	608	*	X0071	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098835	155099358	524	*	X0072	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098476	155098958	483	*	X0073	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098476	155099030	555	*	X0074	1942	155100349	155107386	7038	+	1318	upstream	1318	EFNA1
chr1	155098476	155099358	883	*	X0075	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098476	155099487	1012	*	X0076	1942	155100349	155107386	7038	+	861	upstream	861	EFNA1
chr1	155098751	155099487	737	*	X0077	1942	155100349	155107386	7038	+	861	upstream	861	EFNA1
chr1	155098835	155099487	653	*	X0078	1942	155100349	155107386	7038	+	861	upstream	861	EFNA1
chr1	155098835	155098958	124	*	X0079	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098835	155099030	196	*	X0080	1942	155100349	155107386	7038	+	1318	upstream	1318	EFNA1
chr1	155098835	155099358	524	*	X0081	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098835	155099487	653	*	X0082	1942	155100349	155107386	7038	+	861	upstream	861	EFNA1
chr1	155098835	155099487	653	*	X0083	1942	155100349	155107386	7038	+	861	upstream	861	EFNA1
chr1	155098835	155099487	653	*	X0084	1942	155100349	155107386	7038	+	861	upstream	861	EFNA1
chr1	155098505	155098958	454	*	X0085	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098505	155098958	454	*	X0086	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098505	155098958	454	*	X0087	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098505	155098958	454	*	X0088	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098751	155098958	208	*	X0089	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098835	155098958	124	*	X0090	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098505	155098958	454	*	X0091	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098505	155099030	526	*	X0092	1942	155100349	155107386	7038	+	1318	upstream	1318	EFNA1
chr1	155098505	155099358	854	*	X0093	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098505	155099358	854	*	X0094	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098751	155099358	608	*	X0095	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098835	155099358	524	*	X0096	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098505	155098958	454	*	X0097	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098505	155099030	526	*	X0098	1942	155100349	155107386	7038	+	1318	upstream	1318	EFNA1
chr1	155098505	155099358	854	*	X0099	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098505	155099514	1010	*	X0100	1942	155100349	155107386	7038	+	834	upstream	834	EFNA1
chr1	155098751	155099514	764	*	X0101	1942	155100349	155107386	7038	+	834	upstream	834	EFNA1
chr1	155098835	155099514	680	*	X0102	1942	155100349	155107386	7038	+	834	upstream	834	EFNA1
chr1	155098835	155098958	124	*	X0103	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098835	155099030	196	*	X0104	1942	155100349	155107386	7038	+	1318	upstream	1318	EFNA1
chr1	155098835	155099358	524	*	X0105	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098835	155099514	680	*	X0106	1942	155100349	155107386	7038	+	834	upstream	834	EFNA1
chr1	155098835	155099514	680	*	X0107	1942	155100349	155107386	7038	+	834	upstream	834	EFNA1
chr1	155098835	155099514	680	*	X0108	1942	155100349	155107386	7038	+	834	upstream	834	EFNA1
chr1	155098944	155098958	15	*	X0109	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098944	155098958	15	*	X0110	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098944	155098958	15	*	X0111	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098944	155098958	15	*	X0112	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098944	155098958	15	*	X0113	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098944	155098958	15	*	X0114	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098944	155098958	15	*	X0115	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098944	155099030	87	*	X0116	1942	155100349	155107386	7038	+	1318	upstream	1318	EFNA1
chr1	155098944	155099358	415	*	X0117	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098944	155099358	415	*	X0118	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098944	155099358	415	*	X0119	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098944	155099358	415	*	X0120	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098944	155098958	15	*	X0121	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098944	155099030	87	*	X0122	1942	155100349	155107386	7038	+	1318	upstream	1318	EFNA1
chr1	155098944	155099358	415	*	X0123	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098944	155099590	647	*	X0124	1942	155100349	155107386	7038	+	758	upstream	758	EFNA1
chr1	155098944	155099635	692	*	X0125	1942	155100349	155107386	7038	+	713	upstream	713	EFNA1
chr1	155098944	155099635	692	*	X0126	1942	155100349	155107386	7038	+	713	upstream	713	EFNA1
chr1	155098944	155098958	15	*	X0127	1942	155100349	155107386	7038	+	1390	upstream	1390	EFNA1
chr1	155098944	155099030	87	*	X0128	1942	155100349	155107386	7038	+	1318	upstream	1318	EFNA1
chr1	155098944	155099358	415	*	X0129	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
chr1	155098944	155099590	647	*	X0130	1942	155100349	155107386	7038	+	758	upstream	758	EFNA1
chr1	155098944	155099765	822	*	X0131	1942	155100349	155107386	7038	+	583	upstream	583	EFNA1
chr1	155098944	155099902	959	*	X0132	1942	155100349	155107386	7038	+	446	upstream	446	EFNA1
chr1	155099083	155099358	276	*	X0133	1942	155100349	155107386	7038	+	990	upstream	990	EFNA1
