seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	2138849	2139909	1061	*	X001	199990	2115899	2139172	23274	-	0	overlapStart	0	FAAP20
chr1	10489864	10490761	898	*	X003	100526739	10490159	10512060	21902	+	0	overlapStart	0	CENPS-CORT
chr1	10489864	10490761	898	*	X003	378708	10490159	10502872	12714	+	0	overlapStart	0	CENPS
chr1	16970773	16971761	989	*	X005	11209	16972069	16976915	4847	+	307	upstream	307	MST1P2
chr1	16970773	16971761	989	*	X005	84809	16944751	16971178	26428	-	0	overlapStart	0	CROCCP2
chr1	16971904	16971995	92	*	X006	11209	16972069	16976915	4847	+	73	upstream	73	MST1P2
chr1	16971904	16971995	92	*	X006	84809	16944751	16971178	26428	-	725	upstream	725	CROCCP2
chr1	21672040	21673048	1009	*	X007	1889	21543740	21672034	128295	-	5	upstream	5	ECE1
chr1	24285510	24286099	590	*	X008	55629	24286301	24289949	3649	+	201	upstream	201	PNRC2
chr1	29211052	29212096	1045	*	X009	2035	29213603	29446558	232956	+	1506	upstream	1506	EPB41
chr1	29563192	29564412	1221	*	X010	10076	29563028	29653325	90298	+	0	inside	163	PTPRU
chr1	43996799	43996928	130	*	X012	5792	43996547	44089343	92797	+	0	inside	251	PTPRF
chr1	110052034	110053034	1001	*	X015	57463	110049446	110052336	2891	-	0	overlapStart	0	AMIGO1
chr1	153517561	153518488	928	*	X016	6275	153516095	153518282	2188	-	0	overlapStart	0	S100A4
chr1	155098476	155099902	1427	*	X018	1942	155100349	155107386	7038	+	446	upstream	446	EFNA1
chr1	182573259	182573606	348	*	X024	6004	182567758	182573548	5791	-	0	overlapStart	0	RGS16
chr1	197871794	197872797	1004	*	X025	388722	197871682	197876497	4816	+	0	inside	111	C1orf53
chr1	201475887	201476480	594	*	X026	1465	201452658	201476387	23730	-	0	overlapStart	0	CSRP1
chr1	203097049	203098061	1013	*	X027	134	203096836	203136533	39698	+	0	inside	212	ADORA1
chr1	209847969	209848978	1010	*	X029	50486	209848670	209849735	1066	+	0	overlapStart	0	G0S2
chr1	210407140	210408153	1014	*	X030	574036	210404804	210407466	2663	-	0	overlapStart	0	SERTAD4-AS1
chr1	214454504	214454702	199	*	X031	56950	214454565	214510477	55913	+	0	overlapStart	0	SMYD2
chr10	5708261	5709333	1073	*	X034	79754	5680820	5708558	27739	-	0	overlapStart	0	ASB13
chr10	17243687	17244370	684	*	X035	1787	17184982	17244070	59089	-	0	overlapStart	0	TRDMT1
chr10	91174523	91174965	443	*	X038	24138	91174325	91180759	6435	+	0	inside	197	IFIT5
chr10	91174523	91174965	443	*	X038	3988	90973326	91174382	201057	-	140	upstream	140	LIPA
chr10	104154057	104155054	998	*	X040	4791	104153867	104162286	8420	+	0	inside	189	NFKB2
chr11	18415699	18416440	742	*	X044	3939	18415936	18429765	13830	+	0	overlapStart	0	LDHA
chr11	57226755	57228039	1285	*	X046	349667	57228339	57244384	16046	+	299	upstream	299	RTN4RL2
chr11	60609060	60609745	686	*	X048	79080	60609429	60618561	9133	+	0	overlapStart	0	CCDC86
chr11	63685258	63685998	741	*	X050	283248	63678693	63684316	5624	-	941	upstream	941	RCOR2
chr11	66115213	66116150	938	*	X052	11041	66112843	66115161	2319	-	51	upstream	51	B4GAT1
chr11	67771177	67772189	1013	*	X054	81622	67758575	67771593	13019	-	0	overlapStart	0	UNC93B1
chr11	75061400	75063721	2322	*	X056	408	74971166	75062875	91710	-	0	overlapStart	0	ARRB1
chr12	44228830	44229801	972	*	X063	84216	44229962	44783541	553580	+	160	upstream	160	TMEM117
