seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1167900	1168111	212	*	X0001	126792	1167629	1170420	2792	+	0	inside	270	B3GALT6
chr1	1167900	1168111	212	*	X0001	51150	1152288	1167447	15160	-	452	upstream	452	SDF4
chr1	2139342	2139413	72	*	X0002	199990	2115899	2139172	23274	-	169	upstream	169	FAAP20
chr1	6259907	6259930	24	*	X0008	6146	6245080	6259679	14600	-	227	upstream	227	RPL22
chr1	6259956	6259973	18	*	X0009	6146	6245080	6259679	14600	-	276	upstream	276	RPL22
chr1	6259986	6259999	14	*	X0010	6146	6245080	6259679	14600	-	306	upstream	306	RPL22
chr1	8086537	8086610	74	*	X0011	54206	8071779	8086393	14615	-	143	upstream	143	ERRFI1
chr1	9884604	9884701	98	*	X0016	22883	9789079	9884550	95472	-	53	upstream	53	CLSTN1
chr1	10490364	10490364	1	*	X0017	100526739	10490159	10512060	21902	+	0	inside	204	CENPS-CORT
chr1	10490364	10490364	1	*	X0017	378708	10490159	10502872	12714	+	0	inside	204	CENPS
chr1	10534885	10534903	19	*	X0018	5195	10535003	10690815	155813	+	99	upstream	99	PEX14
chr1	16940231	16940386	156	*	X0021	55672	16888922	16940100	51179	-	130	upstream	130	NBPF1
chr1	16971273	16971495	223	*	X0022	11209	16972069	16976915	4847	+	573	upstream	573	MST1P2
chr1	16971273	16971495	223	*	X0022	84809	16944751	16971178	26428	-	94	upstream	94	CROCCP2
chr1	21672507	21672548	42	*	X0028	1889	21543740	21672034	128295	-	472	upstream	472	ECE1
chr1	23345762	23345778	17	*	X0029	23028	23345941	23410184	64244	+	162	upstream	162	KDM1A
chr1	24285557	24285599	43	*	X0030	55629	24286301	24289949	3649	+	701	upstream	701	PNRC2
chr1	26324868	26325018	151	*	X0031	5051	26286258	26324648	38391	-	219	upstream	219	PAFAH2
chr1	27021918	27021930	13	*	X0032	8289	27022522	27108601	86080	+	591	upstream	591	ARID1A
chr1	27481755	27481768	14	*	X0034	6548	27425300	27481621	56322	-	133	upstream	133	SLC9A1
chr1	27648462	27648487	26	*	X0035	644961	27650365	27653016	2652	+	1877	upstream	1877	ACTG1P20
chr1	27648462	27648487	26	*	X0035	84065	27648636	27662891	14256	+	148	upstream	148	TMEM222
chr1	28241227	28241359	133	*	X0036	6118	28218049	28241236	23188	-	0	overlapStart	0	RPA2
chr1	28908636	28908664	29	*	X0039	677825	28906893	28907024	132	-	1611	upstream	1611	SNORA44
chr1	28908636	28908664	29	*	X0039	692073	28907432	28907565	134	-	1070	upstream	1070	SNORA16A
chr1	28908636	28908664	29	*	X0039	85028	28905050	28908383	3334	-	252	upstream	252	SNHG12
chr1	28969722	28969767	46	*	X0040	6883	28929609	28969604	39996	-	117	upstream	117	TAF12
chr1	29063165	29063190	26	*	X0041	51441	29063133	29096287	33155	+	0	inside	31	YTHDF2
chr1	32757398	32757479	82	*	X0044	3065	32757708	32799224	41517	+	228	upstream	228	HDAC1
chr1	36554305	36554329	25	*	X0050	54936	36554453	36559533	5081	+	123	upstream	123	ADPRS
chr1	36930118	36930172	55	*	X0051	64960	36921362	36930040	8679	-	77	upstream	77	MRPS15
chr1	38020090	38020140	51	*	X0052	79753	38000050	38019945	19896	-	144	upstream	144	SNIP1
chr1	38477938	38477959	22	*	X0055	51118	38478384	38490497	12114	+	424	upstream	424	UTP11
chr1	38478001	38478014	14	*	X0056	51118	38478384	38490497	12114	+	369	upstream	369	UTP11
chr1	38478042	38478287	246	*	X0057	51118	38478384	38490497	12114	+	96	upstream	96	UTP11
chr1	40626915	40626930	16	*	X0058	6018	40627041	40706593	79553	+	110	upstream	110	RLF
chr1	40839149	40839162	14	*	X0059	64744	40839378	40888998	49621	+	215	upstream	215	SMAP2
chr1	43996372	43996452	81	*	X0062	5792	43996547	44089343	92797	+	94	upstream	94	PTPRF
chr1	44399176	44399222	47	*	X0063	9048	44398992	44402912	3921	+	0	inside	183	ARTN
chr1	44678874	44678997	124	*	X0064	55929	44679125	44686351	7227	+	127	upstream	127	DMAP1
chr1	44870767	44870812	46	*	X0065	55182	44870960	45117396	246437	+	147	upstream	147	RNF220
chr1	45452388	45452446	59	*	X0068	8891	45316194	45452394	136201	-	0	overlapStart	0	EIF2B3
chr1	45477039	45477052	14	*	X0069	7389	45477805	45481341	3537	+	752	upstream	752	UROD
chr1	45477039	45477052	14	*	X0069	79654	45468220	45477027	8808	-	11	upstream	11	HECTD3
chr1	45477699	45477726	28	*	X0070	7389	45477805	45481341	3537	+	78	upstream	78	UROD
chr1	45477699	45477726	28	*	X0070	79654	45468220	45477027	8808	-	671	upstream	671	HECTD3
chr1	46153625	46153729	105	*	X0071	51249	46153847	46160108	6262	+	117	upstream	117	TMEM69
chr1	46153625	46153729	105	*	X0071	60313	46092976	46152302	59327	-	1322	upstream	1322	GPBP1L1
chr1	51985245	51985259	15	*	X0072	2060	51819935	51984995	165061	-	249	upstream	249	EPS15
chr1	53686411	53686466	56	*	X0073	54987	53679772	53686289	6518	-	121	upstream	121	CZIB
